# Version 1.00
#
freq[Hz],Trc1_S11[dB],
8.000000000000000E+08,-1.087064921763189E+01,
8.000600000000000E+08,-1.090612367094583E+01,
8.001200000000000E+08,-1.090918484264604E+01,
8.001800000000000E+08,-1.091362635370776E+01,
8.002400000000000E+08,-1.091559428392872E+01,
8.003000000000000E+08,-1.091919099263038E+01,
8.003600000000000E+08,-1.091700244546636E+01,
8.004200000000000E+08,-1.092722839593949E+01,
8.004800000000000E+08,-1.093456123573989E+01,
8.005400000000000E+08,-1.092993207473678E+01,
8.006000000000000E+08,-1.093655942186831E+01,
8.006600000000000E+08,-1.095479969835227E+01,
8.007200000000000E+08,-1.093856622408406E+01,
8.007800000000000E+08,-1.094604603940763E+01,
8.008400000000000E+08,-1.094736945348200E+01,
8.009000000000000E+08,-1.094204959978619E+01,
8.009600000000000E+08,-1.094761742295890E+01,
8.010200000000000E+08,-1.095911303456121E+01,
8.010800000000000E+08,-1.094098806105892E+01,
8.011400000000000E+08,-1.096815382328716E+01,
8.012000000000000E+08,-1.095654592998654E+01,
8.012600000000000E+08,-1.096924493977417E+01,
8.013200000000000E+08,-1.099095865522089E+01,
8.013800000000000E+08,-1.097217252684102E+01,
8.014400000000000E+08,-1.098888622281627E+01,
8.015000000000000E+08,-1.099921838414227E+01,
8.015600000000000E+08,-1.098023626975368E+01,
8.016200000000000E+08,-1.099288849814093E+01,
8.016800000000000E+08,-1.097744887166980E+01,
8.017400000000000E+08,-1.100725504297716E+01,
8.018000000000000E+08,-1.099585099137158E+01,
8.018600000000000E+08,-1.100082334649727E+01,
8.019200000000000E+08,-1.102010047041499E+01,
8.019800000000000E+08,-1.102647566172826E+01,
8.020400000000000E+08,-1.101425730714243E+01,
8.021000000000000E+08,-1.103022126076084E+01,
8.021600000000000E+08,-1.104005388980119E+01,
8.022200000000000E+08,-1.105221982420012E+01,
8.022800000000000E+08,-1.105136507038384E+01,
8.023400000000000E+08,-1.103730762228083E+01,
8.024000000000000E+08,-1.105380485810496E+01,
8.024600000000000E+08,-1.105140495837865E+01,
8.025200000000000E+08,-1.105087703039902E+01,
8.025800000000000E+08,-1.105828476740367E+01,
8.026400000000000E+08,-1.105076960115102E+01,
8.027000000000000E+08,-1.105591323153818E+01,
8.027600000000000E+08,-1.106785142972669E+01,
8.028200000000000E+08,-1.107579160315906E+01,
8.028800000000000E+08,-1.108235570160169E+01,
8.029400000000000E+08,-1.107627422532999E+01,
8.030000000000000E+08,-1.108024289128174E+01,
8.030600000000000E+08,-1.107998116229755E+01,
8.031200000000000E+08,-1.109544786717062E+01,
8.031800000000000E+08,-1.109004049511216E+01,
8.032400000000000E+08,-1.109635147370241E+01,
8.033000000000000E+08,-1.109598681395194E+01,
8.033600000000000E+08,-1.110359731891322E+01,
8.034200000000000E+08,-1.111373884526190E+01,
8.034800000000000E+08,-1.111875614558078E+01,
8.035400000000000E+08,-1.110841009596191E+01,
8.036000000000000E+08,-1.112405401788424E+01,
8.036600000000000E+08,-1.113739116086302E+01,
8.037200000000000E+08,-1.113370947113317E+01,
