# Version 1.00
#
freq[Hz],Trc1_S22[dB],
8.000000000000000E+08,-1.371530149195728E+01,
8.000600000000000E+08,-1.371594694225394E+01,
8.001200000000000E+08,-1.372273779868578E+01,
8.001800000000000E+08,-1.369810336016496E+01,
8.002400000000000E+08,-1.373121248144315E+01,
8.003000000000000E+08,-1.373617438419952E+01,
8.003600000000000E+08,-1.376166070335472E+01,
8.004200000000000E+08,-1.375186535903128E+01,
8.004800000000000E+08,-1.375390918863912E+01,
8.005400000000000E+08,-1.376313757271771E+01,
8.006000000000000E+08,-1.373444276909582E+01,
8.006600000000000E+08,-1.377902557113766E+01,
8.007200000000000E+08,-1.378714961766247E+01,
8.007800000000000E+08,-1.378596147914354E+01,
8.008400000000000E+08,-1.377982695436866E+01,
8.009000000000000E+08,-1.377852214494041E+01,
8.009600000000000E+08,-1.380689065189959E+01,
8.010200000000000E+08,-1.379496711580913E+01,
8.010800000000000E+08,-1.382203972685576E+01,
8.011400000000000E+08,-1.379130198327525E+01,
8.012000000000000E+08,-1.380228545218186E+01,
8.012600000000000E+08,-1.381072814660089E+01,
8.013200000000000E+08,-1.383550911340744E+01,
8.013800000000000E+08,-1.383571639537602E+01,
8.014400000000000E+08,-1.381347110929432E+01,
8.015000000000000E+08,-1.385480271930275E+01,
8.015600000000000E+08,-1.385589054832892E+01,
8.016200000000000E+08,-1.383586239106830E+01,
8.016800000000000E+08,-1.384322373874445E+01,
8.017400000000000E+08,-1.385647992970347E+01,
8.018000000000000E+08,-1.384493963255292E+01,
8.018600000000000E+08,-1.386974458875411E+01,
8.019200000000000E+08,-1.385309948519335E+01,
8.019800000000000E+08,-1.389027899041969E+01,
8.020400000000000E+08,-1.387800279103218E+01,
8.021000000000000E+08,-1.389190938333723E+01,
8.021600000000000E+08,-1.387847581399611E+01,
8.022200000000000E+08,-1.387761690178410E+01,
8.022800000000000E+08,-1.389099616462128E+01,
8.023400000000000E+08,-1.391472070910378E+01,
8.024000000000000E+08,-1.388518497186083E+01,
8.024600000000000E+08,-1.389010129813889E+01,
8.025200000000000E+08,-1.393335231585353E+01,
8.025800000000000E+08,-1.391804075246796E+01,
8.026400000000000E+08,-1.394352639009780E+01,
8.027000000000000E+08,-1.392603685922977E+01,
8.027600000000000E+08,-1.394203037159664E+01,
8.028200000000000E+08,-1.394349478696448E+01,
8.028800000000000E+08,-1.397334817194657E+01,
