# Version 1.00
#
freq[Hz],Trc1_S21[dB],
8.000000000000000E+08,-7.071605379015308E+01,
8.000600000000000E+08,-7.373609928456767E+01,
8.001200000000000E+08,-7.075420541113979E+01,
8.001800000000000E+08,-7.281643119267991E+01,
8.002400000000000E+08,-6.948253523673648E+01,
8.003000000000000E+08,-6.980024632561667E+01,
8.003600000000000E+08,-6.779804125965013E+01,
8.004200000000000E+08,-6.931106858387501E+01,
8.004800000000000E+08,-7.705836788044476E+01,
8.005400000000000E+08,-7.074117177380960E+01,
8.006000000000000E+08,-7.114171899803416E+01,
8.006600000000000E+08,-7.568145457338058E+01,
8.007200000000000E+08,-7.052594108401739E+01,
8.007800000000000E+08,-6.950276177808426E+01,
8.008400000000000E+08,-7.297506483174899E+01,
8.009000000000000E+08,-7.583503158748894E+01,
8.009600000000000E+08,-7.216130792593388E+01,
8.010200000000000E+08,-7.730490843132412E+01,
8.010800000000000E+08,-7.629171621128501E+01,
8.011400000000000E+08,-6.961180069084367E+01,
8.012000000000000E+08,-7.482546256445890E+01,
8.012600000000000E+08,-7.376262161052907E+01,
8.013200000000000E+08,-7.691336601864273E+01,
8.013800000000000E+08,-7.011674295125917E+01,
8.014400000000000E+08,-6.971857954692962E+01,
8.015000000000000E+08,-7.832360892841768E+01,
8.015600000000000E+08,-7.267706232122228E+01,
8.016200000000000E+08,-7.184391412247881E+01,
8.016800000000000E+08,-7.488118073966774E+01,
8.017400000000000E+08,-7.301384883200771E+01,
8.018000000000000E+08,-7.194966013522492E+01,
8.018600000000000E+08,-7.083066908463825E+01,
8.019200000000000E+08,-6.963325200682654E+01,
8.019800000000000E+08,-7.222017917167014E+01,
8.020400000000000E+08,-7.316305549946478E+01,
8.021000000000000E+08,-6.969409171366054E+01,
8.021600000000000E+08,-7.233441274817876E+01,
8.022200000000000E+08,-7.596457414991659E+01,
8.022800000000000E+08,-7.362501052830621E+01,
8.023400000000000E+08,-7.079338791664782E+01,
8.024000000000000E+08,-7.137620549281982E+01,
8.024600000000000E+08,-7.373312040622319E+01,
8.025200000000000E+08,-7.278829742911385E+01,
8.025800000000000E+08,-7.614236972349786E+01,
8.026400000000000E+08,-7.560707948271383E+01,
8.027000000000000E+08,-7.274795896073280E+01,
8.027600000000000E+08,-7.155122444204947E+01,
8.028200000000000E+08,-7.384158327978598E+01,
8.028800000000000E+08,-7.431299261494699E+01,
8.029400000000000E+08,-6.994835147469020E+01,
8.030000000000000E+08,-7.561651871192015E+01,
8.030600000000000E+08,-7.636178290081757E+01,
8.031200000000000E+08,-7.199174496767347E+01,
8.031800000000000E+08,-6.744181882914022E+01,
8.032400000000000E+08,-7.156446280938971E+01,
8.033000000000000E+08,-7.278804543852503E+01,
8.033600000000000E+08,-7.551264699826174E+01,
8.034200000000000E+08,-7.435701251853673E+01,
8.034800000000000E+08,-6.880488556172979E+01,
8.035400000000000E+08,-7.391126809234098E+01,
8.036000000000000E+08,-7.184796782592339E+01,
8.036600000000000E+08,-6.799403340337427E+01,
8.037200000000000E+08,-7.108840435646769E+01,
8.037800000000000E+08,-7.265075152074748E+01,
8.038400000000000E+08,-9.153088293762889E+01,
8.039000000000000E+08,-7.563251297287260E+01,
8.039600000000000E+08,-6.938206277704633E+01,
8.040200000000000E+08,-7.268138255657050E+01,
8.040800000000000E+08,-7.282950508599393E+01,
8.041400000000000E+08,-7.146634819798423E+01,
8.042000000000000E+08,-6.928803823703522E+01,
8.042600000000000E+08,-6.767341346278234E+01,
8.043200000000000E+08,-6.968414621794493E+01,
8.043800000000000E+08,-7.197168766485109E+01,
8.044400000000000E+08,-7.179425551628030E+01,
8.045000000000000E+08,-7.093563332301444E+01,
8.045600000000000E+08,-7.629030488627798E+01,
8.046200000000000E+08,-7.146464469614108E+01,
8.046800000000000E+08,-7.118714401212192E+01,
8.047400000000000E+08,-7.224546718297381E+01,
8.048000000000000E+08,-7.218937863954852E+01,
8.048600000000000E+08,-7.291329004926909E+01,
8.049200000000000E+08,-6.716931084663655E+01,
8.049800000000000E+08,-7.063757515924826E+01,
8.050400000000000E+08,-7.087194187371566E+01,
8.051000000000000E+08,-7.326636794307217E+01,
8.051600000000000E+08,-7.092967135438136E+01,
8.052200000000000E+08,-7.158704118330421E+01,
8.052800000000000E+08,-7.215871488357287E+01,
8.053400000000000E+08,-6.718581253273138E+01,
8.054000000000000E+08,-6.850082677682028E+01,
