# Version 1.00
#
freq[Hz],Trc1_S21[dB],
8.000000000000000E+08,-3.609657495875764E+00,
8.000600000000000E+08,-3.609987381059485E+00,
8.001200000000000E+08,-3.605989068469329E+00,
8.001800000000000E+08,-3.599673142012722E+00,
8.002400000000000E+08,-3.603710216701037E+00,
8.003000000000000E+08,-3.593076017268433E+00,
8.003600000000000E+08,-3.592230957333399E+00,
8.004200000000000E+08,-3.592963168883856E+00,
8.004800000000000E+08,-3.590117007826675E+00,
8.005400000000000E+08,-3.588552312827771E+00,
8.006000000000000E+08,-3.582049378100567E+00,
8.006600000000000E+08,-3.586044786951450E+00,
8.007200000000000E+08,-3.581271647909184E+00,
8.007800000000000E+08,-3.581077490529551E+00,
8.008400000000000E+08,-3.576719505637041E+00,
8.009000000000000E+08,-3.572373841990120E+00,
8.009600000000000E+08,-3.572858094447999E+00,
8.010200000000000E+08,-3.573735303838828E+00,
8.010800000000000E+08,-3.568572662992902E+00,
8.011400000000000E+08,-3.567175032825879E+00,
8.012000000000000E+08,-3.564983152551189E+00,
8.012600000000000E+08,-3.568220661686683E+00,
8.013200000000000E+08,-3.563658525562394E+00,
8.013800000000000E+08,-3.562107775359622E+00,
8.014400000000000E+08,-3.557607644628331E+00,
8.015000000000000E+08,-3.553421645499333E+00,
8.015600000000000E+08,-3.547099990147871E+00,
8.016200000000000E+08,-3.549001758345489E+00,
8.016800000000000E+08,-3.554933541869537E+00,
8.017400000000000E+08,-3.544650265032961E+00,
8.018000000000000E+08,-3.542894607754013E+00,
8.018600000000000E+08,-3.544477556444386E+00,
8.019200000000000E+08,-3.539566407530160E+00,
8.019800000000000E+08,-3.530257561760572E+00,
8.020400000000000E+08,-3.532029343080479E+00,
8.021000000000000E+08,-3.532450780058793E+00,
8.021600000000000E+08,-3.530794189415511E+00,
8.022200000000000E+08,-3.529810578471238E+00,
8.022800000000000E+08,-3.524516570813315E+00,
8.023400000000000E+08,-3.519739904087808E+00,
8.024000000000000E+08,-3.523101999998171E+00,
8.024600000000000E+08,-3.517872049226524E+00,
8.025200000000000E+08,-3.521717367133788E+00,
8.025800000000000E+08,-3.514384578413249E+00,
8.026400000000000E+08,-3.508414048535186E+00,
8.027000000000000E+08,-3.509211448629481E+00,
8.027600000000000E+08,-3.508800645200428E+00,
8.028200000000000E+08,-3.508580567999320E+00,
8.028800000000000E+08,-3.504230000509034E+00,
8.029400000000000E+08,-3.504584584237484E+00,
8.030000000000000E+08,-3.494289118215089E+00,
8.030600000000000E+08,-3.501138055260316E+00,
8.031200000000000E+08,-3.498327333155094E+00,
8.031800000000000E+08,-3.487894776738903E+00,
8.032400000000000E+08,-3.494141356575571E+00,
8.033000000000000E+08,-3.494763614153195E+00,
8.033600000000000E+08,-3.494159962982140E+00,
8.034200000000000E+08,-3.478481605320805E+00,
8.034800000000000E+08,-3.482231365879786E+00,
8.035400000000000E+08,-3.477809504385036E+00,
8.036000000000000E+08,-3.479306662651651E+00,
8.036600000000000E+08,-3.472948442775314E+00,
8.037200000000000E+08,-3.479947881353366E+00,
8.037800000000000E+08,-3.472782263586734E+00,
8.038400000000000E+08,-3.467604416981438E+00,
8.039000000000000E+08,-3.463325447430408E+00,
8.039600000000000E+08,-3.463457760660741E+00,
8.040200000000000E+08,-3.463570642292467E+00,
8.040800000000000E+08,-3.458691458710264E+00,
8.041400000000000E+08,-3.457535818194813E+00,
8.042000000000000E+08,-3.456289245989428E+00,
8.042600000000000E+08,-3.455832136773536E+00,
8.043200000000000E+08,-3.446859537544209E+00,
8.043800000000000E+08,-3.444595733900200E+00,
8.044400000000000E+08,-3.451526103786598E+00,
8.045000000000000E+08,-3.449467779212769E+00,
8.045600000000000E+08,-3.447974078822192E+00,
8.046200000000000E+08,-3.440875715784125E+00,
8.046800000000000E+08,-3.435170510980127E+00,
8.047400000000000E+08,-3.439085408354818E+00,
8.048000000000000E+08,-3.435241399535892E+00,
8.048600000000000E+08,-3.427083161762129E+00,
8.049200000000000E+08,-3.434180159419451E+00,
8.049800000000000E+08,-3.423437891392952E+00,
8.050400000000000E+08,-3.428548374192774E+00,
8.051000000000000E+08,-3.423746704157191E+00,
8.051600000000000E+08,-3.422915998896796E+00,
8.052200000000000E+08,-3.424551571832630E+00,
8.052800000000000E+08,-3.411429407277662E+00,
8.053400000000000E+08,-3.415023531801361E+00,
8.054000000000000E+08,-3.406725814766428E+00,
8.054600000000000E+08,-3.413789496612503E+00,
8.055200000000000E+08,-3.411200020217970E+00,
8.055800000000000E+08,-3.403528625689472E+00,
8.056400000000000E+08,-3.402310877252321E+00,
8.057000000000000E+08,-3.406216673051270E+00,
8.057600000000000E+08,-3.404326126265338E+00,
8.058200000000000E+08,-3.399837809949399E+00,
8.058800000000000E+08,-3.400718217290857E+00,
8.059400000000000E+08,-3.393059476318305E+00,
8.060000000000000E+08,-3.390759634367600E+00,
8.060600000000000E+08,-3.388565226909834E+00,
8.061200000000000E+08,-3.393116000221479E+00,
8.061800000000000E+08,-3.383890103008887E+00,
8.062400000000000E+08,-3.387695531722619E+00,
8.063000000000000E+08,-3.383381656649289E+00,
8.063600000000000E+08,-3.376490246061391E+00,
8.064200000000000E+08,-3.375837914839507E+00,
8.064800000000000E+08,-3.378039395186816E+00,
8.065400000000000E+08,-3.376301006861921E+00,
8.066000000000000E+08,-3.366810053386267E+00,
8.066600000000000E+08,-3.368777028926258E+00,
8.067200000000000E+08,-3.370474618326120E+00,
8.067800000000000E+08,-3.366227582884714E+00,
8.068400000000000E+08,-3.361961777236813E+00,
8.069000000000000E+08,-3.362164535292735E+00,
8.069600000000000E+08,-3.353478856124800E+00,
8.070200000000000E+08,-3.353644763569838E+00,
8.070800000000000E+08,-3.357538615028090E+00,
8.071400000000000E+08,-3.351791575019387E+00,
8.072000000000000E+08,-3.349532572087237E+00,
8.072600000000000E+08,-3.352570395543851E+00,
8.073200000000000E+08,-3.349366081171665E+00,
8.073800000000000E+08,-3.344225131230761E+00,
8.074400000000000E+08,-3.342804127121849E+00,
8.075000000000000E+08,-3.345595002704207E+00,
8.075600000000000E+08,-3.332204707461129E+00,
8.076200000000000E+08,-3.335050732180433E+00,
