# Version 1.00
#
freq[Hz],Trc1_S21[dB],
8.000000000000000E+08,2.676040751197574E+01,
8.000600000000000E+08,2.674464738675815E+01,
8.001200000000000E+08,2.671270522090734E+01,
8.001800000000000E+08,2.669809579417240E+01,
8.002400000000000E+08,2.668496730499525E+01,
8.003000000000000E+08,2.667710297927046E+01,
8.003600000000000E+08,2.667938661516649E+01,
8.004200000000000E+08,2.668617023233018E+01,
8.004800000000000E+08,2.669671364701932E+01,
8.005400000000000E+08,2.669729556225929E+01,
8.006000000000000E+08,2.671112983605868E+01,
8.006600000000000E+08,2.672377625722003E+01,
8.007200000000000E+08,2.673047995832408E+01,
8.007800000000000E+08,2.673491864917023E+01,
8.008400000000000E+08,2.674205803743799E+01,
8.009000000000000E+08,2.674356588352382E+01,
8.009600000000000E+08,2.674399065503744E+01,
8.010200000000000E+08,2.674080253225455E+01,
8.010800000000000E+08,2.674310861008946E+01,
8.011400000000000E+08,2.673686923678297E+01,
8.012000000000000E+08,2.673185762589332E+01,
8.012600000000000E+08,2.672392095598143E+01,
8.013200000000000E+08,2.671845468140996E+01,
8.013800000000000E+08,2.671624648969136E+01,
8.014400000000000E+08,2.671254608424930E+01,
8.015000000000000E+08,2.671378408642846E+01,
8.015600000000000E+08,2.671848240612474E+01,
8.016200000000000E+08,2.671625345395375E+01,
8.016800000000000E+08,2.671888653727618E+01,
8.017400000000000E+08,2.672224390418257E+01,
8.018000000000000E+08,2.672010472821313E+01,
8.018600000000000E+08,2.672364564162418E+01,
8.019200000000000E+08,2.672218334151810E+01,
8.019800000000000E+08,2.672419827971097E+01,
8.020400000000000E+08,2.672751019621364E+01,
8.021000000000000E+08,2.672705058011853E+01,
8.021600000000000E+08,2.672720651399645E+01,
8.022200000000000E+08,2.672540869189772E+01,
8.022800000000000E+08,2.672603071930929E+01,
8.023400000000000E+08,2.672237127779604E+01,
8.024000000000000E+08,2.671992291421708E+01,
8.024600000000000E+08,2.672232770305393E+01,
8.025200000000000E+08,2.672087829226328E+01,
8.025800000000000E+08,2.671947001753739E+01,
8.026400000000000E+08,2.671818961568761E+01,
8.027000000000000E+08,2.672243656590447E+01,
8.027600000000000E+08,2.671695430723775E+01,
8.028200000000000E+08,2.671883406811613E+01,
8.028800000000000E+08,2.671983288885184E+01,
8.029400000000000E+08,2.671634327283294E+01,
8.030000000000000E+08,2.671704431796930E+01,
8.030600000000000E+08,2.671620599284491E+01,
8.031200000000000E+08,2.671469828986142E+01,
8.031800000000000E+08,2.671691377931255E+01,
8.032400000000000E+08,2.671687228755007E+01,
8.033000000000000E+08,2.671335109286606E+01,
8.033600000000000E+08,2.671657987069124E+01,
8.034200000000000E+08,2.671697112577201E+01,
8.034800000000000E+08,2.671280341391845E+01,
8.035400000000000E+08,2.671238375026240E+01,
8.036000000000000E+08,2.671088567336207E+01,
8.036600000000000E+08,2.671553292176652E+01,
8.037200000000000E+08,2.671380777906693E+01,
8.037800000000000E+08,2.671536852479774E+01,
8.038400000000000E+08,2.671236625603127E+01,
8.039000000000000E+08,2.671209398177380E+01,
8.039600000000000E+08,2.671037034372724E+01,
8.040200000000000E+08,2.673202015967540E+01,
8.040800000000000E+08,2.672121682547503E+01,
8.041400000000000E+08,2.672478210352168E+01,
8.042000000000000E+08,2.672516075525717E+01,
8.042600000000000E+08,2.672333644583845E+01,
8.043200000000000E+08,2.671968240891974E+01,
8.043800000000000E+08,2.671915178714185E+01,
8.044400000000000E+08,2.671517926529205E+01,
8.045000000000000E+08,2.671145869817467E+01,
8.045600000000000E+08,2.671257495624134E+01,
8.046200000000000E+08,2.671043352996196E+01,
8.046800000000000E+08,2.670638166276968E+01,
8.047400000000000E+08,2.670657132237236E+01,
8.048000000000000E+08,2.670493002030490E+01,
8.048600000000000E+08,2.670635576330631E+01,
8.049200000000000E+08,2.670446962591249E+01,
8.049800000000000E+08,2.670980916066703E+01,
8.050400000000000E+08,2.670518294961438E+01,
8.051000000000000E+08,2.670824339462911E+01,
8.051600000000000E+08,2.670608226181326E+01,
8.052200000000000E+08,2.670824862822433E+01,
8.052800000000000E+08,2.670413348242380E+01,
8.053400000000000E+08,2.670829495177770E+01,
8.054000000000000E+08,2.670912759103309E+01,
8.054600000000000E+08,2.670584465899203E+01,
8.055200000000000E+08,2.670470734406387E+01,
8.055800000000000E+08,2.670718380789289E+01,
8.056400000000000E+08,2.670648792827344E+01,
8.057000000000000E+08,2.670514477779844E+01,
8.057600000000000E+08,2.670571153878032E+01,
8.058200000000000E+08,2.670350360937859E+01,
8.058800000000000E+08,2.669874695033510E+01,
8.059400000000000E+08,2.670240296976329E+01,
8.060000000000000E+08,2.670076043345944E+01,
8.060600000000000E+08,2.669769651084104E+01,
8.061200000000000E+08,2.669408822705737E+01,
8.061800000000000E+08,2.669852772895674E+01,
8.062400000000000E+08,2.670009881943635E+01,
8.063000000000000E+08,2.669282649053086E+01,
8.063600000000000E+08,2.669522902187244E+01,
8.064200000000000E+08,2.669961043018198E+01,
8.064800000000000E+08,2.670060185259695E+01,
8.065400000000000E+08,2.669966309924079E+01,
8.066000000000000E+08,2.669658466345135E+01,
8.066600000000000E+08,2.670057334547328E+01,
8.067200000000000E+08,2.669892461231466E+01,
8.067800000000000E+08,2.669879636651521E+01,
8.068400000000000E+08,2.669897655581192E+01,
8.069000000000000E+08,2.670312008051879E+01,
8.069600000000000E+08,2.669997893074376E+01,
8.070200000000000E+08,2.669493685096252E+01,
8.070800000000000E+08,2.669818669003485E+01,
8.071400000000000E+08,2.669822218605695E+01,
8.072000000000000E+08,2.669498657686904E+01,
8.072600000000000E+08,2.669446157692994E+01,
8.073200000000000E+08,2.669893769195552E+01,
8.073800000000000E+08,2.669847993194594E+01,
8.074400000000000E+08,2.669798839148022E+01,
8.075000000000000E+08,2.669724876305439E+01,
8.075600000000000E+08,2.669986138174287E+01,
8.076200000000000E+08,2.670001744929086E+01,
8.076800000000000E+08,2.669980015010679E+01,
8.077400000000000E+08,2.670217540335060E+01,
8.078000000000000E+08,2.669830499268624E+01,
8.078600000000000E+08,2.669545071831491E+01,
8.079200000000000E+08,2.669767725423966E+01,
8.079800000000000E+08,2.669798836473168E+01,
8.080400000000000E+08,2.670979990021981E+01,
8.081000000000000E+08,2.670107817329824E+01,
8.081600000000000E+08,2.670585133305535E+01,
8.082200000000000E+08,2.670315799630806E+01,
8.082800000000000E+08,2.670446328183838E+01,
8.083400000000000E+08,2.670147495662235E+01,
8.084000000000000E+08,2.670169524081936E+01,
8.084600000000000E+08,2.670076735844144E+01,
8.085200000000000E+08,2.669375129557503E+01,
8.085800000000000E+08,2.669195407187180E+01,
8.086400000000000E+08,2.669042788623209E+01,
8.087000000000000E+08,2.668819174006961E+01,
8.087600000000000E+08,2.669382864034120E+01,
8.088200000000000E+08,2.669544295035742E+01,
8.088800000000000E+08,2.669404478268229E+01,
8.089400000000000E+08,2.669580277722769E+01,
8.090000000000000E+08,2.669711434485946E+01,
8.090600000000000E+08,2.669658340409956E+01,
8.091200000000000E+08,2.669772172170264E+01,
8.091800000000000E+08,2.669844791293500E+01,
8.092400000000000E+08,2.669546934150129E+01,
8.093000000000000E+08,2.670122653735047E+01,
8.093600000000000E+08,2.669830304926052E+01,
8.094200000000000E+08,2.669087337353866E+01,
8.094800000000000E+08,2.669534064907128E+01,
8.095400000000000E+08,2.669647654756142E+01,
8.096000000000000E+08,2.669453250493233E+01,
8.096600000000000E+08,2.669303174497181E+01,
8.097200000000000E+08,2.668786362021491E+01,
8.097800000000000E+08,2.668693248173017E+01,
8.098400000000000E+08,2.668679329874028E+01,
8.099000000000000E+08,2.668581791657425E+01,
8.099600000000000E+08,2.668907195798399E+01,
8.100200000000000E+08,2.668804209721944E+01,
8.100800000000000E+08,2.668748721778036E+01,
8.101400000000000E+08,2.668628006140183E+01,
8.102000000000000E+08,2.668957225762107E+01,
8.102600000000000E+08,2.669202114647220E+01,
8.103200000000000E+08,2.668890235677335E+01,
8.103800000000000E+08,2.668313846630075E+01,
8.104400000000000E+08,2.668939884048022E+01,
8.105000000000000E+08,2.668589600494611E+01,
8.105600000000000E+08,2.668950681910723E+01,
8.106200000000000E+08,2.668696975453477E+01,
8.106800000000000E+08,2.668814403148554E+01,
8.107400000000000E+08,2.668610123829506E+01,
8.108000000000000E+08,2.668817904480948E+01,
8.108600000000000E+08,2.668814057576349E+01,
8.109200000000000E+08,2.668818727484246E+01,
8.109800000000000E+08,2.668722926859449E+01,
8.110400000000000E+08,2.668215836094235E+01,
8.111000000000000E+08,2.668795964981386E+01,
8.111600000000000E+08,2.668240387186218E+01,
8.112200000000000E+08,2.668178879779774E+01,
8.112800000000000E+08,2.668445151925449E+01,
8.113400000000000E+08,2.668655260071363E+01,
8.114000000000000E+08,2.668593109563465E+01,
8.114600000000000E+08,2.668316824397113E+01,
8.115200000000000E+08,2.668360177425231E+01,
8.115800000000000E+08,2.668087056538575E+01,
8.116400000000000E+08,2.668147801873436E+01,
8.117000000000000E+08,2.668375528437767E+01,
8.117600000000000E+08,2.668189719562736E+01,
8.118200000000000E+08,2.668794114012663E+01,
8.118800000000000E+08,2.668013095542915E+01,
8.119400000000000E+08,2.667872483656729E+01,
8.120000000000000E+08,2.668224745069645E+01,
8.120600000000000E+08,2.670896152403452E+01,
8.121200000000000E+08,2.671554122892803E+01,
8.121800000000000E+08,2.672010082933311E+01,
8.122400000000000E+08,2.672480274988162E+01,
8.123000000000000E+08,2.672073975919195E+01,
8.123600000000000E+08,2.671327812219538E+01,
8.124200000000000E+08,2.670411215219282E+01,
8.124800000000000E+08,2.670077812085101E+01,
8.125400000000000E+08,2.668309943221077E+01,
8.126000000000000E+08,2.667926687778836E+01,
8.126600000000000E+08,2.667497256545771E+01,
8.127200000000000E+08,2.667144690017401E+01,
8.127800000000000E+08,2.666293136544933E+01,
8.128400000000000E+08,2.666878851864379E+01,
8.129000000000000E+08,2.666821580279882E+01,
8.129600000000000E+08,2.667195822520138E+01,
8.130200000000000E+08,2.667118994859438E+01,
8.130800000000000E+08,2.667736541435255E+01,
8.131400000000000E+08,2.668215974778191E+01,
8.132000000000000E+08,2.668694722798702E+01,
8.132600000000000E+08,2.669133463580948E+01,
8.133200000000000E+08,2.669044257953278E+01,
8.133800000000000E+08,2.668926496103634E+01,
8.134400000000000E+08,2.669241480749765E+01,
8.135000000000000E+08,2.669293303943626E+01,
8.135600000000000E+08,2.669011867959891E+01,
8.136200000000000E+08,2.668909884057795E+01,
8.136800000000000E+08,2.668686767347553E+01,
8.137400000000000E+08,2.668586393989471E+01,
8.138000000000000E+08,2.668465442567961E+01,
8.138600000000000E+08,2.668124709535391E+01,
8.139200000000000E+08,2.667830461909819E+01,
8.139800000000000E+08,2.667865120629509E+01,
8.140400000000000E+08,2.667940846974274E+01,
8.141000000000000E+08,2.668451980135521E+01,
8.141600000000000E+08,2.668084615684220E+01,
8.142200000000000E+08,2.668037887339074E+01,
8.142800000000000E+08,2.668442832114946E+01,
8.143400000000000E+08,2.668621037380980E+01,
8.144000000000000E+08,2.668178472200263E+01,
8.144600000000000E+08,2.668244859066467E+01,
8.145200000000000E+08,2.668349228523223E+01,
8.145800000000000E+08,2.668045801028094E+01,
8.146400000000000E+08,2.667865371777261E+01,
8.147000000000000E+08,2.667715954883625E+01,
8.147600000000000E+08,2.668341752252095E+01,
8.148200000000000E+08,2.668033415054597E+01,
8.148800000000000E+08,2.667977417615635E+01,
8.149400000000000E+08,2.667660185499727E+01,
8.150000000000000E+08,2.667737612315265E+01,
8.150600000000000E+08,2.668138919380293E+01,
8.151200000000000E+08,2.668619595092645E+01,
8.151800000000000E+08,2.668626302095536E+01,
8.152400000000000E+08,2.668129983951028E+01,
8.153000000000000E+08,2.668188097223785E+01,
8.153600000000000E+08,2.668540893270756E+01,
8.154200000000000E+08,2.668334395836474E+01,
8.154800000000000E+08,2.668595053175174E+01,
8.155400000000000E+08,2.668324669684912E+01,
8.156000000000000E+08,2.668465133316791E+01,
8.156600000000000E+08,2.668578949353480E+01,
8.157200000000000E+08,2.668100717151344E+01,
8.157800000000000E+08,2.668131966651525E+01,
8.158400000000000E+08,2.667975278108688E+01,
8.159000000000000E+08,2.667872548758748E+01,
8.159600000000000E+08,2.668163799981780E+01,
8.160200000000000E+08,2.669611953150637E+01,
8.160800000000000E+08,2.668669725075095E+01,
8.161400000000000E+08,2.668629109716552E+01,
8.162000000000000E+08,2.669091346414263E+01,
8.162600000000000E+08,2.669106421879070E+01,
8.163200000000000E+08,2.668747916507019E+01,
8.163800000000000E+08,2.668453034607946E+01,
8.164400000000000E+08,2.668221252310726E+01,
8.165000000000000E+08,2.668148338128998E+01,
8.165600000000000E+08,2.667788616783185E+01,
8.166200000000000E+08,2.667796350251010E+01,
8.166800000000000E+08,2.667504541547449E+01,
8.167400000000000E+08,2.667390900779402E+01,
8.168000000000000E+08,2.667608105586542E+01,
8.168600000000000E+08,2.667385201444020E+01,
8.169200000000000E+08,2.667671922499542E+01,
8.169800000000000E+08,2.667403966595966E+01,
8.170400000000000E+08,2.667556750142469E+01,
8.171000000000000E+08,2.667966148054442E+01,
8.171600000000000E+08,2.668038610186253E+01,
8.172200000000000E+08,2.667975500879621E+01,
8.172800000000000E+08,2.668112347352209E+01,
8.173400000000000E+08,2.668674353490677E+01,
8.174000000000000E+08,2.668253344349814E+01,
8.174600000000000E+08,2.667874332056864E+01,
8.175200000000000E+08,2.668185510107965E+01,
8.175800000000000E+08,2.667844306929371E+01,
8.176400000000000E+08,2.667778079836721E+01,
8.177000000000000E+08,2.667775920432318E+01,
8.177600000000000E+08,2.667531916238021E+01,
8.178200000000000E+08,2.667809119875558E+01,
8.178800000000000E+08,2.667752898701574E+01,
8.179400000000000E+08,2.667662681643858E+01,
8.180000000000000E+08,2.667698481081532E+01,
8.180600000000000E+08,2.667890473090237E+01,
8.181200000000000E+08,2.667672274985674E+01,
8.181800000000000E+08,2.667458244444921E+01,
8.182400000000000E+08,2.667620702457757E+01,
8.183000000000000E+08,2.667617019699310E+01,
8.183600000000000E+08,2.667773902404943E+01,
8.184200000000000E+08,2.667650040556367E+01,
8.184800000000000E+08,2.668225695849081E+01,
8.185400000000000E+08,2.667912603869070E+01,
8.186000000000000E+08,2.667933447967270E+01,
8.186600000000000E+08,2.667373615865658E+01,
8.187200000000000E+08,2.667828227602136E+01,
8.187800000000000E+08,2.668075527517472E+01,
8.188400000000000E+08,2.667363383729529E+01,
8.189000000000000E+08,2.668031352111649E+01,
8.189600000000000E+08,2.667653895865164E+01,
8.190200000000000E+08,2.667948892353370E+01,
8.190800000000000E+08,2.667658390772200E+01,
8.191400000000000E+08,2.667809433828341E+01,
8.192000000000000E+08,2.667492717708121E+01,
8.192600000000000E+08,2.667595525575364E+01,
8.193200000000000E+08,2.667670212765087E+01,
8.193800000000000E+08,2.668194616409557E+01,
8.194400000000000E+08,2.667895254039248E+01,
8.195000000000000E+08,2.667846949338933E+01,
8.195600000000000E+08,2.667978528708728E+01,
8.196200000000000E+08,2.668044120292552E+01,
8.196800000000000E+08,2.667888673457250E+01,
8.197400000000000E+08,2.667970182776500E+01,
8.198000000000000E+08,2.668118456792852E+01,
8.198600000000000E+08,2.668235821407235E+01,
8.199200000000000E+08,2.668193832522257E+01,
8.199800000000000E+08,2.667996600377092E+01,
8.200400000000000E+08,2.669768224167146E+01,
8.201000000000000E+08,2.667706259715867E+01,
8.201600000000000E+08,2.668154839300279E+01,
8.202200000000000E+08,2.667861103690114E+01,
8.202800000000000E+08,2.668445529297158E+01,
8.203400000000000E+08,2.668371625424946E+01,
8.204000000000000E+08,2.667942301198802E+01,
8.204600000000000E+08,2.667772645553995E+01,
8.205200000000000E+08,2.667932523187471E+01,
8.205800000000000E+08,2.667174800812149E+01,
8.206400000000000E+08,2.667312347361690E+01,
8.207000000000000E+08,2.666917031327883E+01,
8.207600000000000E+08,2.667808971387283E+01,
8.208200000000000E+08,2.667888691225425E+01,
8.208800000000000E+08,2.667523460161057E+01,
8.209400000000000E+08,2.668046956775974E+01,
8.210000000000000E+08,2.668211750106396E+01,
8.210600000000000E+08,2.668117307333269E+01,
8.211200000000000E+08,2.668180923758077E+01,
8.211800000000000E+08,2.668007688255344E+01,
8.212400000000000E+08,2.668343055874633E+01,
8.213000000000000E+08,2.668089572446146E+01,
8.213600000000000E+08,2.668358469980742E+01,
8.214200000000000E+08,2.668146953860327E+01,
8.214800000000000E+08,2.667909168753106E+01,
