# Version 1.00
#
freq[Hz],Trc1_S21[dB],
8.000000000000000E+08,-3.769488507427108E+01,
8.000600000000000E+08,-3.772200183616915E+01,
8.001200000000000E+08,-3.766747802110171E+01,
8.001800000000000E+08,-3.768779709521839E+01,
8.002400000000000E+08,-3.763929949682775E+01,
8.003000000000000E+08,-3.758984441691545E+01,
8.003600000000000E+08,-3.760432552383921E+01,
8.004200000000000E+08,-3.764150930305272E+01,
8.004800000000000E+08,-3.757516672088537E+01,
8.005400000000000E+08,-3.749546211769424E+01,
8.006000000000000E+08,-3.759562768087631E+01,
8.006600000000000E+08,-3.756064903443134E+01,
8.007200000000000E+08,-3.744241929367442E+01,
8.007800000000000E+08,-3.748487894643267E+01,
8.008400000000000E+08,-3.743179460812100E+01,
8.009000000000000E+08,-3.755214009968046E+01,
8.009600000000000E+08,-3.734051145457143E+01,
8.010200000000000E+08,-3.734025732351685E+01,
8.010800000000000E+08,-3.744780159567817E+01,
8.011400000000000E+08,-3.738907268684865E+01,
8.012000000000000E+08,-3.739665627632013E+01,
8.012600000000000E+08,-3.719687860098368E+01,
8.013200000000000E+08,-3.733257307470346E+01,
8.013800000000000E+08,-3.730898372852957E+01,
8.014400000000000E+08,-3.729895961252788E+01,
8.015000000000000E+08,-3.726027180893942E+01,
8.015600000000000E+08,-3.728497161513350E+01,
8.016200000000000E+08,-3.722892970166997E+01,
8.016800000000000E+08,-3.712126922313550E+01,
8.017400000000000E+08,-3.721903324555064E+01,
8.018000000000000E+08,-3.710796839997595E+01,
8.018600000000000E+08,-3.713536040917881E+01,
8.019200000000000E+08,-3.706476582175023E+01,
8.019800000000000E+08,-3.712371200680628E+01,
8.020400000000000E+08,-3.706216593978355E+01,
8.021000000000000E+08,-3.696697912933155E+01,
8.021600000000000E+08,-3.698839532913698E+01,
8.022200000000000E+08,-3.703675583105018E+01,
8.022800000000000E+08,-3.695346923891229E+01,
8.023400000000000E+08,-3.693963941749294E+01,
8.024000000000000E+08,-3.695769306266448E+01,
8.024600000000000E+08,-3.687894502825875E+01,
