# Version 1.00
#
freq[Hz],Trc1_S21[dB],
8.000000000000000E+08,-5.939766828802919E+00,
8.000600000000000E+08,-5.930531157166389E+00,
8.001200000000000E+08,-5.917260086865229E+00,
8.001800000000000E+08,-5.915687987706937E+00,
8.002400000000000E+08,-5.920132608790939E+00,
8.003000000000000E+08,-5.921514993002583E+00,
8.003600000000000E+08,-5.928337359751827E+00,
8.004200000000000E+08,-5.923411176525821E+00,
8.004800000000000E+08,-5.907224244134561E+00,
8.005400000000000E+08,-5.920205931069018E+00,
8.006000000000000E+08,-5.917170456894252E+00,
8.006600000000000E+08,-5.913556530164428E+00,
8.007200000000000E+08,-5.902136649280184E+00,
8.007800000000000E+08,-5.906377809661116E+00,
8.008400000000000E+08,-5.907616635750758E+00,
8.009000000000000E+08,-5.902736759242273E+00,
8.009600000000000E+08,-5.905794028940212E+00,
8.010200000000000E+08,-5.901903985697937E+00,
8.010800000000000E+08,-5.890249001828499E+00,
8.011400000000000E+08,-5.900399981193330E+00,
8.012000000000000E+08,-5.891313612103861E+00,
8.012600000000000E+08,-5.894966743551757E+00,
8.013200000000000E+08,-5.899590907662734E+00,
8.013800000000000E+08,-5.895090431150026E+00,
8.014400000000000E+08,-5.882523786391873E+00,
8.015000000000000E+08,-5.884873735258228E+00,
8.015600000000000E+08,-5.878997734377977E+00,
8.016200000000000E+08,-5.877834464245786E+00,
8.016800000000000E+08,-5.890115960496399E+00,
8.017400000000000E+08,-5.881302035265723E+00,
8.018000000000000E+08,-5.871915140583493E+00,
8.018600000000000E+08,-5.878029394556769E+00,
8.019200000000000E+08,-5.875370591251784E+00,
8.019800000000000E+08,-5.861705627221373E+00,
8.020400000000000E+08,-5.865726932115870E+00,
8.021000000000000E+08,-5.869128740102507E+00,
8.021600000000000E+08,-5.859222495212787E+00,
8.022200000000000E+08,-5.867800739655539E+00,
8.022800000000000E+08,-5.860415236577707E+00,
8.023400000000000E+08,-5.860354015731892E+00,
8.024000000000000E+08,-5.864157968736481E+00,
8.024600000000000E+08,-5.856427476251326E+00,
8.025200000000000E+08,-5.863722272520707E+00,
8.025800000000000E+08,-5.858383888625660E+00,
8.026400000000000E+08,-5.860837004552419E+00,
8.027000000000000E+08,-5.855304993162514E+00,
8.027600000000000E+08,-5.851756899216342E+00,
8.028200000000000E+08,-5.849646456478180E+00,
8.028800000000000E+08,-5.856412224460493E+00,
8.029400000000000E+08,-5.857798581998762E+00,
8.030000000000000E+08,-5.845885954146403E+00,
8.030600000000000E+08,-5.846213808973597E+00,
8.031200000000000E+08,-5.837554261864918E+00,
8.031800000000000E+08,-5.840574126305029E+00,
8.032400000000000E+08,-5.832825339200047E+00,
8.033000000000000E+08,-5.831884214059163E+00,
8.033600000000000E+08,-5.833412634062340E+00,
8.034200000000000E+08,-5.832218365419866E+00,
8.034800000000000E+08,-5.828247237180307E+00,
8.035400000000000E+08,-5.833594957752965E+00,
8.036000000000000E+08,-5.827087632251492E+00,
8.036600000000000E+08,-5.824672037504859E+00,
8.037200000000000E+08,-5.823209153006086E+00,
8.037800000000000E+08,-5.820549791177397E+00,
8.038400000000000E+08,-5.818647453672218E+00,
8.039000000000000E+08,-5.822044185387298E+00,
8.039600000000000E+08,-5.825950663404942E+00,
8.040200000000000E+08,-5.813334514083400E+00,
8.040800000000000E+08,-5.816427750371600E+00,
8.041400000000000E+08,-5.815902719279090E+00,
8.042000000000000E+08,-5.813118481038862E+00,
8.042600000000000E+08,-5.805052793998962E+00,
8.043200000000000E+08,-5.807395123303429E+00,
8.043800000000000E+08,-5.820872833280951E+00,
8.044400000000000E+08,-5.799430743487417E+00,
8.045000000000000E+08,-5.804065731338195E+00,
8.045600000000000E+08,-5.800097001614696E+00,
8.046200000000000E+08,-5.798997121560819E+00,
8.046800000000000E+08,-5.800157207595703E+00,
8.047400000000000E+08,-5.794184357204609E+00,
8.048000000000000E+08,-5.799337453023533E+00,
8.048600000000000E+08,-5.792865031684991E+00,
8.049200000000000E+08,-5.797782940771189E+00,
8.049800000000000E+08,-5.789030906310531E+00,
8.050400000000000E+08,-5.777557766266917E+00,
8.051000000000000E+08,-5.777587492636535E+00,
8.051600000000000E+08,-5.792963885228739E+00,
8.052200000000000E+08,-5.788853629871547E+00,
8.052800000000000E+08,-5.781623997140981E+00,
8.053400000000000E+08,-5.782239809474702E+00,
8.054000000000000E+08,-5.769788343385359E+00,
8.054600000000000E+08,-5.781456096114148E+00,
8.055200000000000E+08,-5.780376430407335E+00,
8.055800000000000E+08,-5.779091077157490E+00,
8.056400000000000E+08,-5.766105902223768E+00,
8.057000000000000E+08,-5.775210558410851E+00,
8.057600000000000E+08,-5.772156573704132E+00,
8.058200000000000E+08,-5.769811095954345E+00,
8.058800000000000E+08,-5.779404967961311E+00,
8.059400000000000E+08,-5.766991415842159E+00,
8.060000000000000E+08,-5.772309253313740E+00,
8.060600000000000E+08,-5.760365754568987E+00,
8.061200000000000E+08,-5.770244495294074E+00,
8.061800000000000E+08,-5.760548741846056E+00,
8.062400000000000E+08,-5.757078477705337E+00,
8.063000000000000E+08,-5.764271832091231E+00,
8.063600000000000E+08,-5.761730327440366E+00,
8.064200000000000E+08,-5.749606038285857E+00,
8.064800000000000E+08,-5.756289679990266E+00,
8.065400000000000E+08,-5.756818801165448E+00,
8.066000000000000E+08,-5.748248859756242E+00,
8.066600000000000E+08,-5.745956941954002E+00,
8.067200000000000E+08,-5.752798029595612E+00,
8.067800000000000E+08,-5.749753895453985E+00,
